date,total_transactions,total_amount,avg_amount,fraud_count,fraud_rate,avg_fraud_score,max_fraud_score
2010-01-01,20,474.19,23.7095,0,0.0,0.0388,0.2047
2010-01-02,18,482.16,26.7867,0,0.0,0.0453,0.1737
2010-01-03,23,835.02,36.3052,0,0.0,0.0267,0.1954
2010-01-04,27,973.42,36.0526,0,0.0,0.0378,0.2607
2010-01-05,18,977.98,54.3322,0,0.0,0.0609,0.2607
2010-01-06,26,899.18,34.5838,0,0.0,0.0562,0.6225
2010-01-07,22,807.25,36.6932,0,0.0,0.0492,0.3988
2010-01-08,26,1401.39,53.8996,0,0.0,0.06,0.2398
2010-01-09,26,1457.91,56.0735,0,0.0,0.0281,0.1406
2010-01-10,24,1132.82,47.2008,0,0.0,0.0708,0.2848
2010-01-11,29,739.71,25.5072,0,0.0,0.0444,0.259
2010-01-12,23,840.54,36.5452,0,0.0,0.0673,0.4332
2010-01-13,27,1224.31,45.3448,0,0.0,0.0453,0.1969
2010-01-14,18,592.35,32.9083,0,0.0,0.0372,0.1458
2010-01-15,18,846.86,47.0478,0,0.0,0.0512,0.302
2010-01-16,25,1538.05,61.522,0,0.0,0.0328,0.1835
2010-01-17,21,547.26,26.06,0,0.0,0.0309,0.1491
2010-01-18,22,742.2,33.7364,0,0.0,0.0344,0.3748
2010-01-19,26,1466.41,56.4004,0,0.0,0.0488,0.1626
2010-01-20,31,1413.51,45.5971,0,0.0,0.0608,0.321
2010-01-21,23,1144.43,49.7578,0,0.0,0.0326,0.1427
2010-01-22,32,1191.24,37.2262,0,0.0,0.0695,0.291
2010-01-23,18,814.44,45.2467,0,0.0,0.049,0.2627
2010-01-24,23,301.36,13.1026,0,0.0,0.0326,0.0951
2010-01-25,24,1198.19,49.9246,0,0.0,0.0443,0.1212
2010-01-26,24,1506.99,62.7912,0,0.0,0.0601,0.2748
2010-01-27,13,667.59,51.3531,0,0.0,0.122,0.4981
2010-01-28,29,1463.64,50.4703,0,0.0,0.0609,0.2879
2010-01-29,24,713.9,29.7458,0,0.0,0.0841,0.3729
2010-01-30,27,1194.57,44.2433,0,0.0,0.0335,0.1464
2010-01-31,33,1931.66,58.5352,0,0.0,0.0411,0.2346
2010-02-01,18,871.81,48.4339,0,0.0,0.0561,0.2582
2010-02-02,25,765.26,30.6104,0,0.0,0.0599,0.446
2010-02-03,26,1448.04,55.6938,0,0.0,0.078,0.601
2010-02-04,22,706.31,32.105,0,0.0,0.0759,0.284
2010-02-05,19,1229.18,64.6937,0,0.0,0.0494,0.2889
2010-02-06,20,705.18,35.259,0,0.0,0.0312,0.0975
2010-02-07,25,1006.7,40.268,0,0.0,0.032,0.1379
2010-02-08,32,1421.43,44.4197,0,0.0,0.0657,0.3778
2010-02-09,36,1309.1,36.3639,0,0.0,0.0319,0.1295
2010-02-10,25,1154.08,46.1632,0,0.0,0.0502,0.2411
2010-02-11,27,677.53,25.0937,0,0.0,0.032,0.1266
2010-02-12,24,1110.34,46.2642,0,0.0,0.058,0.2785
2010-02-13,28,1178.55,42.0911,0,0.0,0.0566,0.3012
2010-02-14,24,2094.26,87.2608,0,0.0,0.0556,0.2268
2010-02-15,29,1346.5,46.431,0,0.0,0.0524,0.5025
2010-02-16,30,1465.52,48.8507,0,0.0,0.0546,0.1908
2010-02-17,23,1108.71,48.2048,0,0.0,0.0466,0.1587
2010-02-18,25,625.48,25.0192,0,0.0,0.0357,0.1776
2010-02-19,26,1574.67,60.5642,0,0.0,0.0722,0.4443
2010-02-20,26,1215.76,46.76,0,0.0,0.0681,0.5263
2010-02-21,29,963.42,33.2214,0,0.0,0.0255,0.0859
2010-02-22,26,1332.33,51.2435,0,0.0,0.0487,0.1697
2010-02-23,31,872.1,28.1323,0,0.0,0.0315,0.1679
2010-02-24,30,824.07,27.469,0,0.0,0.0426,0.1572
2010-02-25,26,717.4,27.5923,0,0.0,0.0268,0.1317
2010-02-26,25,1479.9,59.196,0,0.0,0.0641,0.417
2010-02-27,22,1217.53,55.3423,0,0.0,0.0512,0.2436
2010-02-28,27,1203.9,44.5889,0,0.0,0.0457,0.4762
2010-03-01,32,973.08,30.4088,0,0.0,0.0342,0.2395
2010-03-02,30,757.74,25.258,0,0.0,0.0313,0.1486
2010-03-03,32,1256.44,39.2638,0,0.0,0.0252,0.3184
2010-03-04,29,1375.8,47.4414,0,0.0,0.0621,0.2309
2010-03-05,24,1110.4,46.2667,0,0.0,0.0967,0.6164
2010-03-06,26,1441.36,55.4369,0,0.0,0.0401,0.2247
2010-03-07,19,718.45,37.8132,0,0.0,0.0285,0.1957
2010-03-08,27,852.44,31.5719,0,0.0,0.0517,0.4462
2010-03-09,21,897.75,42.75,0,0.0,0.0422,0.212
2010-03-10,24,755.34,31.4725,0,0.0,0.0358,0.1414
2010-03-11,34,1599.52,47.0447,0,0.0,0.0448,0.1924
2010-03-12,24,1315.31,54.8046,0,0.0,0.0453,0.2415
2010-03-13,18,163.89,9.105,0,0.0,0.0791,0.2956
2010-03-14,25,973.12,38.9248,0,0.0,0.0722,0.6781
2010-03-15,23,1063.02,46.2183,0,0.0,0.0717,0.5066
2010-03-16,32,719.9,22.4969,0,0.0,0.0503,0.3913
2010-03-17,29,1367.0,47.1379,0,0.0,0.07,0.4424
2010-03-18,33,1200.9,36.3909,0,0.0,0.0396,0.187
2010-03-19,25,1241.95,49.678,0,0.0,0.0475,0.3304
