merchant_id,tx_count,total_volume,avg_amount,fraud_count,fraud_rate,avg_fraud_score,max_fraud_score,unique_users
5,1,12.02,12.02,False,0.0,0.1431,0.1431,1
22,10,80.36,8.036,0,0.0,0.0332,0.0652,1
23,1,44.13,44.13,False,0.0,0.0,0.0,1
57,5,138.49,27.698,0,0.0,0.0434,0.0614,3
72,1,9.42,9.42,0,,0.1723,0.1723,1
91,1,85.51,85.51,False,0.0,0.0187,0.0187,1
100,18,1151.77,63.9872,0,0.0,0.1387,0.3199,5
104,1,4.54,4.54,False,0.0,0.0361,0.0361,1
106,9,104.55,11.6167,0,0.0,0.0049,0.0099,1
118,1,32.21,32.21,0,,0.0432,0.0432,1
122,1,37.45,37.45,False,0.0,0.085,0.085,1
135,3,129.1,43.0333,0,0.0,0.0773,0.1219,1
144,2,17.7,8.85,0,,0.0695,0.0738,1
146,5,589.96,117.992,0,0.0,0.0689,0.1245,1
148,1,70.54,70.54,False,0.0,0.0458,0.0458,1
152,1,6.45,6.45,0,,0.0998,0.0998,1
157,1,87.58,87.58,0,,0.1291,0.1291,1
176,1,27.88,27.88,False,0.0,0.0667,0.0667,1
178,1,3.67,3.67,0,,0.0084,0.0084,1
183,1,438.31,438.31,0,,0.1372,0.1372,1
202,1,11.88,11.88,False,0.0,0.1073,0.1073,1
209,1,141.58,141.58,False,0.0,0.0089,0.0089,1
212,3,107.18,35.7267,0,0.0,0.0731,0.1238,2
216,4,209.59,52.3975,0,0.0,0.0592,0.0993,1
219,1,2.15,2.15,False,0.0,0.0802,0.0802,1
246,3,19.91,6.6367,0,0.0,0.0444,0.0717,2
256,1,90.42,90.42,False,0.0,0.0159,0.0159,1
259,3,27.34,9.1133,0,0.0,0.0629,0.1019,1
266,1,24.3,24.3,0,,0.0177,0.0177,1
274,5,205.61,41.122,0,0.0,0.0206,0.0465,1
283,1,86.97,86.97,False,0.0,0.1366,0.1366,1
299,1,48.38,48.38,False,0.0,0.055,0.055,1
302,1,30.63,30.63,False,0.0,0.1298,0.1298,1
309,1,107.27,107.27,0,,0.1841,0.1841,1
317,17,346.94,20.4082,0,0.0,0.0373,0.1,8
320,1,39.09,39.09,False,0.0,0.0442,0.0442,1
323,1,2.64,2.64,0,,0.1133,0.1133,1
329,1,116.65,116.65,0,,0.2351,0.2351,1
349,3,281.99,93.9967,0,0.0,0.0081,0.0153,1
357,1,18.69,18.69,False,0.0,0.0155,0.0155,1
358,2,104.67,52.335,0,0.0,0.0108,0.0121,1
369,2,9.36,4.68,0,0.0,0.0593,0.0728,2
374,1,13.18,13.18,0,,0.0584,0.0584,1
410,1,47.6,47.6,False,0.0,0.0582,0.0582,1
422,3,258.92,86.3067,0,0.0,0.0773,0.0844,1
427,2,94.69,47.345,False,0.0,0.0427,0.0601,1
432,7,652.08,93.1543,0,0.0,0.1519,0.3881,5
433,1,45.73,45.73,False,0.0,0.0938,0.0938,1
436,4,61.79,15.4475,0,0.0,0.0657,0.0891,1
451,1,11.79,11.79,False,0.0,0.1431,0.1431,1
455,1,18.83,18.83,False,0.0,0.0517,0.0517,1
462,1,107.29,107.29,False,0.0,0.1378,0.1378,1
463,5,475.64,95.128,0,0.0,0.2805,0.4181,2
464,5,175.77,35.154,0,0.0,0.0347,0.0576,4
467,2,309.17,154.585,0,0.0,0.2745,0.4762,2
481,3,126.95,42.3167,0,0.0,0.0126,0.0184,1
483,2,45.18,22.59,0,0.0,0.0804,0.1284,1
489,1,10.85,10.85,False,0.0,0.034,0.034,1
510,2,127.06,63.53,0,0.0,0.1238,0.1897,1
524,4,152.24,38.06,0,0.0,0.0381,0.0909,1
530,2,130.97,65.485,0,0.0,0.1102,0.1918,1
534,1,10.18,10.18,0,,0.0563,0.0563,1
558,1,6.27,6.27,False,0.0,0.0152,0.0152,1
565,2,34.28,17.14,0,0.0,0.0629,0.0804,2
569,8,548.85,68.6062,0,0.0,0.241,0.5883,4
571,1,20.19,20.19,False,0.0,0.0424,0.0424,1
602,4,212.46,53.115,0,0.0,0.1987,0.3121,2
603,2,70.06,35.03,False,0.0,0.035,0.0488,1
607,2,174.95,87.475,0,,0.0908,0.0961,1
620,7,277.65,39.6643,0,0.0,0.0262,0.0506,1
635,17,395.56,23.2682,0,0.0,0.033,0.0582,3
638,2,1.79,0.895,0,0.0,0.0924,0.1134,1
640,2,66.53,33.265,0,0.0,0.0983,0.1149,1
644,5,45.67,9.134,0,0.0,0.0849,0.0999,1
646,1,12.05,12.05,0,,0.0708,0.0708,1
647,1,624.44,624.44,False,0.0,0.1108,0.1108,1
655,1,25.9,25.9,False,0.0,0.095,0.095,1
710,2,12.96,6.48,False,0.0,0.0197,0.0245,1
716,1,154.95,154.95,0,,0.1684,0.1684,1
717,2,36.58,18.29,False,0.0,0.0693,0.1191,1
726,99,11839.03,119.5862,0,0.0,0.2349,0.7877,67
734,2,323.88,161.94,False,0.0,0.1397,0.1692,1
738,1,18.29,18.29,0,,0.1569,0.1569,1
744,1,120.44,120.44,False,0.0,0.1939,0.1939,1
762,1,96.31,96.31,False,0.0,0.0291,0.0291,1
770,5,135.51,27.102,0,0.0,0.0457,0.0711,1
779,3,42.29,14.0967,False,0.0,0.019,0.0473,1
790,2,102.19,51.095,0,0.0,0.2435,0.2779,2
796,15,1297.13,86.4753,0,0.0,0.0347,0.0959,1
804,7,594.87,84.9814,0,0.0,0.0592,0.1242,1
807,3,57.25,19.0833,0,0.0,0.1039,0.1248,2
819,1,17.01,17.01,False,0.0,0.0964,0.0964,1
846,1,73.33,73.33,False,0.0,0.019,0.019,1
847,11,136.48,12.4073,0,0.0,0.0102,0.0291,1
851,2,6.35,3.175,0,0.0,0.0466,0.0485,2
897,1,29.26,29.26,False,0.0,0.1381,0.1381,1
908,1,16.29,16.29,0,,0.1094,0.1094,1
921,1,230.63,230.63,0,,0.0546,0.0546,1
930,1,64.02,64.02,False,0.0,0.0573,0.0573,1
943,1,53.07,53.07,False,0.0,0.1807,0.1807,1
956,3,115.16,38.3867,False,0.0,0.0633,0.0875,1
986,1,28.58,28.58,False,0.0,0.042,0.042,1
1017,1,39.27,39.27,False,0.0,0.0147,0.0147,1
1018,1,207.24,207.24,False,0.0,0.2176,0.2176,1
1022,1,147.72,147.72,False,0.0,0.1809,0.1809,1
1034,2,25.02,12.51,False,0.0,0.0352,0.0369,1
1039,1,38.57,38.57,0,,0.1242,0.1242,1
1046,6,186.97,31.1617,0,0.0,0.0198,0.0273,1
1048,11,269.43,24.4936,0,0.0,0.0646,0.0878,1
1051,3,161.44,53.8133,False,0.0,0.1451,0.2385,3
1054,1,4.31,4.31,False,0.0,0.0985,0.0985,1
1084,1,24.37,24.37,0,,0.0701,0.0701,1
1098,4,31.39,7.8475,0,0.0,0.0097,0.0097,1
1099,4,54.71,13.6775,0,0.0,0.0336,0.0619,1
1100,2,129.04,64.52,False,0.0,0.0621,0.063,1
1102,4,561.11,140.2775,0,0.0,0.1298,0.147,2
1108,6,69.95,11.6583,0,0.0,0.0075,0.0186,1
1128,2,21.55,10.775,False,0.0,0.1301,0.1455,1
1131,1,4.41,4.41,False,0.0,0.0576,0.0576,1
1140,1,3.95,3.95,0,,0.0361,0.0361,1
1142,1,83.61,83.61,False,0.0,0.1889,0.1889,1
1152,1,51.58,51.58,0,,0.072,0.072,1
1159,1,22.48,22.48,False,0.0,0.109,0.109,1
1179,1,6.23,6.23,False,0.0,0.0881,0.0881,1
1182,1,90.22,90.22,False,0.0,0.0254,0.0254,1
1187,1,181.66,181.66,True,1.0,0.6166,0.6166,1
1197,1,15.07,15.07,0,,0.1049,0.1049,1
1199,1,27.34,27.34,False,0.0,0.0,0.0,1
1200,4,83.99,20.9975,0,0.0,0.0975,0.1313,2
1208,2,21.73,10.865,0,,0.0087,0.0174,2
1218,4,666.47,166.6175,0,0.0,0.0841,0.1167,1
1222,1,10.44,10.44,False,0.0,0.1177,0.1177,1
1238,53,1543.0,29.1132,0,0.0,0.039,0.1256,47
1240,5,40.41,8.082,0,0.0,0.027,0.0354,2
1244,1,61.37,61.37,0,,0.0472,0.0472,1
1273,1,90.95,90.95,False,0.0,0.0649,0.0649,1
1281,1,4.9,4.9,0,,0.086,0.086,1
1283,4,111.36,27.84,0,0.0,0.0641,0.0944,3
1285,1,143.93,143.93,False,0.0,0.0525,0.0525,1
1286,1,95.01,95.01,False,0.0,0.1041,0.1041,1
1296,5,572.72,114.544,0,0.0,0.0506,0.0698,1
1298,3,19.44,6.48,False,0.0,0.0026,0.0078,1
1300,1,11.71,11.71,False,0.0,0.1103,0.1103,1
1334,1,191.9,191.9,False,0.0,0.1661,0.1661,1
1336,2,6.0,3.0,0,,0.0157,0.0157,1
1338,7,772.94,110.42,0,0.0,0.3128,0.6034,5
